Numer of labeled samples:34185   AUC:0.976
Numer of labeled samples:34884   AUC:0.979
Numer of labeled samples:34228   AUC:0.971
Numer of labeled samples:34711   AUC:0.973
Numer of labeled samples:33467   AUC:0.965
Numer of labeled samples:34127   AUC:0.967
Numer of labeled samples:33575   AUC:0.963
Numer of labeled samples:33763   AUC:0.962
Numer of labeled samples:32529   AUC:0.954
Numer of labeled samples:33346   AUC:0.957
Numer of labeled samples:32347   AUC:0.949
Numer of labeled samples:32951   AUC:0.957
Numer of labeled samples:32706   AUC:0.948
Numer of labeled samples:32699   AUC:0.953
Numer of labeled samples:31567   AUC:0.942
Numer of labeled samples:32497   AUC:0.942
Numer of labeled samples:32147   AUC:0.946
Numer of labeled samples:33028   AUC:0.948
Numer of labeled samples:31678   AUC:0.942
Numer of labeled samples:32883   AUC:0.951
Numer of labeled samples:30865   AUC:0.934
Numer of labeled samples:31521   AUC:0.941
Numer of labeled samples:30628   AUC:0.930
Numer of labeled samples:31825   AUC:0.937
Numer of labeled samples:30504   AUC:0.932
Numer of labeled samples:31587   AUC:0.935
Numer of labeled samples:30165   AUC:0.915
Numer of labeled samples:29928   AUC:0.922
Numer of labeled samples:29291   AUC:0.919
Numer of labeled samples:29914   AUC:0.925
Numer of labeled samples:30659   AUC:0.929
Numer of labeled samples:30176   AUC:0.920
Numer of labeled samples:29596   AUC:0.921
Numer of labeled samples:30141   AUC:0.922
Numer of labeled samples:29313   AUC:0.913
Numer of labeled samples:29277   AUC:0.923
Numer of labeled samples:28777   AUC:0.906
Numer of labeled samples:30996   AUC:0.911
Numer of labeled samples:27287   AUC:0.888
Numer of labeled samples:28950   AUC:0.910
Numer of labeled samples:25607   AUC:0.875
Numer of labeled samples:26111   AUC:0.893
Numer of labeled samples:24890   AUC:0.871
Numer of labeled samples:25604   AUC:0.880
Numer of labeled samples:24922   AUC:0.866
Numer of labeled samples:24890   AUC:0.877
Numer of labeled samples:25253   AUC:0.872
Numer of labeled samples:24691   AUC:0.868
Numer of labeled samples:25346   AUC:0.870
Numer of labeled samples:25826   AUC:0.863
Numer of labeled samples:24399   AUC:0.862
Numer of labeled samples:25054   AUC:0.856
Numer of labeled samples:24507   AUC:0.859
Numer of labeled samples:25631   AUC:0.859
Numer of labeled samples:24094   AUC:0.851
Numer of labeled samples:24992   AUC:0.867
Numer of labeled samples:23783   AUC:0.850
Numer of labeled samples:24229   AUC:0.838
Numer of labeled samples:24400   AUC:0.874
Numer of labeled samples:24247   AUC:0.847
Numer of labeled samples:24366   AUC:0.856
Numer of labeled samples:24093   AUC:0.857
Numer of labeled samples:23615   AUC:0.847
Numer of labeled samples:24228   AUC:0.855
Numer of labeled samples:24553   AUC:0.857
Numer of labeled samples:24872   AUC:0.853
Numer of labeled samples:24543   AUC:0.861
Numer of labeled samples:24585   AUC:0.859
Numer of labeled samples:23634   AUC:0.837
Numer of labeled samples:23280   AUC:0.835
Numer of labeled samples:23676   AUC:0.831
Numer of labeled samples:22885   AUC:0.845
Numer of labeled samples:23964   AUC:0.853
Numer of labeled samples:23169   AUC:0.842
Numer of labeled samples:24308   AUC:0.834
Numer of labeled samples:23047   AUC:0.842
Numer of labeled samples:24035   AUC:0.849
Numer of labeled samples:23454   AUC:0.835
Numer of labeled samples:23230   AUC:0.840
Numer of labeled samples:23206   AUC:0.833
Numer of labeled samples:23359   AUC:0.826
Numer of labeled samples:23008   AUC:0.837
Numer of labeled samples:22739   AUC:0.848
Numer of labeled samples:22982   AUC:0.841
Numer of labeled samples:23032   AUC:0.831
Numer of labeled samples:22345   AUC:0.828
Numer of labeled samples:22419   AUC:0.836
Numer of labeled samples:21935   AUC:0.819
Numer of labeled samples:23205   AUC:0.838
Numer of labeled samples:22688   AUC:0.834
Numer of labeled samples:22705   AUC:0.828
Numer of labeled samples:22123   AUC:0.820
Numer of labeled samples:23035   AUC:0.820
Numer of labeled samples:21716   AUC:0.820
Numer of labeled samples:21292   AUC:0.811
Numer of labeled samples:20170   AUC:0.805
Numer of labeled samples:20330   AUC:0.797
Numer of labeled samples:19973   AUC:0.781
Numer of labeled samples:20752   AUC:0.810
Numer of labeled samples:20086   AUC:0.788
Numer of labeled samples:19921   AUC:0.805
Numer of labeled samples:19099   AUC:0.795
Numer of labeled samples:18942   AUC:0.769
Numer of labeled samples:17737   AUC:0.765
Numer of labeled samples:17934   AUC:0.770
Numer of labeled samples:16694   AUC:0.751
Numer of labeled samples:18641   AUC:0.736
Numer of labeled samples:17655   AUC:0.725
Numer of labeled samples:19573   AUC:0.699
Numer of labeled samples:16436   AUC:0.689
Numer of labeled samples:19429   AUC:0.703
Numer of labeled samples:18080   AUC:0.688
Numer of labeled samples:17219   AUC:0.653
Numer of labeled samples:14262   AUC:0.634
Numer of labeled samples:20110   AUC:0.610
Numer of labeled samples:17885   AUC:0.592
Numer of labeled samples:21758   AUC:0.582
Numer of labeled samples:13571   AUC:0.586
Numer of labeled samples:21817   AUC:0.568
Numer of labeled samples:15494   AUC:0.538
Numer of labeled samples:21522   AUC:0.592
Numer of labeled samples:10854   AUC:0.552
Numer of labeled samples:21628   AUC:0.557
Numer of labeled samples:15550   AUC:0.541
Numer of labeled samples:21056   AUC:0.526
Numer of labeled samples:12284   AUC:0.478
Numer of labeled samples:19803   AUC:0.538
Numer of labeled samples:11282   AUC:0.465
Numer of labeled samples:19887   AUC:0.515
Numer of labeled samples:11614   AUC:0.497
Numer of labeled samples:18366   AUC:0.516
Numer of labeled samples:11304   AUC:0.463
Numer of labeled samples:18835   AUC:0.488
Numer of labeled samples:9887   AUC:0.449
Numer of labeled samples:18467   AUC:0.494
Numer of labeled samples:6573   AUC:0.439
Numer of labeled samples:19598   AUC:0.531
Numer of labeled samples:7092   AUC:0.443
Numer of labeled samples:23295   AUC:0.491
Numer of labeled samples:7998   AUC:0.444
Numer of labeled samples:18904   AUC:0.513
Numer of labeled samples:8151   AUC:0.450
Numer of labeled samples:18483   AUC:0.500
Numer of labeled samples:10946   AUC:0.414
Numer of labeled samples:21566   AUC:0.533
Numer of labeled samples:8404   AUC:0.430
Numer of labeled samples:23265   AUC:0.529
Numer of labeled samples:8342   AUC:0.446
Numer of labeled samples:22717   AUC:0.463
Numer of labeled samples:10687   AUC:0.421
Numer of labeled samples:20076   AUC:0.434
Numer of labeled samples:11285   AUC:0.417
Numer of labeled samples:21541   AUC:0.434
Numer of labeled samples:11013   AUC:0.369
Numer of labeled samples:22677   AUC:0.488
Numer of labeled samples:8021   AUC:0.390
Numer of labeled samples:22434   AUC:0.466
Numer of labeled samples:7646   AUC:0.401
Numer of labeled samples:21623   AUC:0.460
Numer of labeled samples:7870   AUC:0.422
Numer of labeled samples:24807   AUC:0.433
Numer of labeled samples:8817   AUC:0.398
Numer of labeled samples:25946   AUC:0.454
Numer of labeled samples:16572   AUC:0.418
Numer of labeled samples:23377   AUC:0.484
Numer of labeled samples:8376   AUC:0.428
Numer of labeled samples:19252   AUC:0.461
Numer of labeled samples:15294   AUC:0.453
Numer of labeled samples:24129   AUC:0.495
Numer of labeled samples:7300   AUC:0.394
Numer of labeled samples:24266   AUC:0.474
Numer of labeled samples:21964   AUC:0.434
Numer of labeled samples:24356   AUC:0.458
Numer of labeled samples:11532   AUC:0.439
Numer of labeled samples:26256   AUC:0.480
Numer of labeled samples:6586   AUC:0.433
Numer of labeled samples:22718   AUC:0.450
Numer of labeled samples:17001   AUC:0.425
Numer of labeled samples:22700   AUC:0.438
Numer of labeled samples:15321   AUC:0.416
Numer of labeled samples:28808   AUC:0.405
Numer of labeled samples:6576   AUC:0.395
