Numer of labeled samples:34371   AUC:0.978
Numer of labeled samples:33686   AUC:0.975
Numer of labeled samples:35709   AUC:0.982
Numer of labeled samples:35547   AUC:0.980
Numer of labeled samples:35897   AUC:0.982
Numer of labeled samples:35271   AUC:0.980
Numer of labeled samples:36309   AUC:0.983
Numer of labeled samples:35466   AUC:0.980
Numer of labeled samples:36631   AUC:0.983
Numer of labeled samples:35837   AUC:0.982
Numer of labeled samples:36688   AUC:0.985
Numer of labeled samples:35938   AUC:0.982
Numer of labeled samples:36501   AUC:0.983
Numer of labeled samples:35934   AUC:0.982
Numer of labeled samples:37077   AUC:0.986
Numer of labeled samples:36474   AUC:0.985
Numer of labeled samples:37329   AUC:0.986
Numer of labeled samples:36594   AUC:0.985
Numer of labeled samples:37055   AUC:0.986
Numer of labeled samples:36857   AUC:0.984
Numer of labeled samples:36902   AUC:0.986
Numer of labeled samples:36899   AUC:0.985
Numer of labeled samples:37331   AUC:0.985
Numer of labeled samples:36976   AUC:0.986
Numer of labeled samples:36964   AUC:0.984
Numer of labeled samples:37205   AUC:0.985
Numer of labeled samples:37316   AUC:0.985
Numer of labeled samples:36861   AUC:0.984
Numer of labeled samples:37397   AUC:0.984
Numer of labeled samples:37066   AUC:0.985
Numer of labeled samples:37665   AUC:0.987
Numer of labeled samples:37232   AUC:0.986
Numer of labeled samples:37669   AUC:0.984
Numer of labeled samples:37759   AUC:0.984
Numer of labeled samples:37468   AUC:0.984
Numer of labeled samples:36457   AUC:0.981
Numer of labeled samples:36899   AUC:0.984
Numer of labeled samples:37464   AUC:0.986
Numer of labeled samples:37170   AUC:0.985
Numer of labeled samples:37472   AUC:0.987
Numer of labeled samples:37539   AUC:0.987
Numer of labeled samples:37386   AUC:0.984
Numer of labeled samples:37364   AUC:0.985
Numer of labeled samples:37509   AUC:0.986
Numer of labeled samples:37727   AUC:0.988
Numer of labeled samples:37769   AUC:0.985
Numer of labeled samples:37403   AUC:0.986
Numer of labeled samples:37533   AUC:0.985
Numer of labeled samples:37950   AUC:0.987
Numer of labeled samples:37517   AUC:0.986
Numer of labeled samples:37753   AUC:0.985
Numer of labeled samples:37251   AUC:0.982
Numer of labeled samples:37483   AUC:0.986
Numer of labeled samples:37489   AUC:0.984
Numer of labeled samples:37706   AUC:0.984
Numer of labeled samples:37232   AUC:0.983
Numer of labeled samples:37218   AUC:0.983
Numer of labeled samples:37562   AUC:0.983
Numer of labeled samples:37592   AUC:0.985
Numer of labeled samples:37729   AUC:0.984
Numer of labeled samples:37587   AUC:0.985
Numer of labeled samples:37725   AUC:0.983
Numer of labeled samples:37417   AUC:0.984
Numer of labeled samples:37765   AUC:0.984
Numer of labeled samples:38043   AUC:0.985
Numer of labeled samples:37602   AUC:0.983
Numer of labeled samples:37492   AUC:0.983
Numer of labeled samples:37516   AUC:0.983
Numer of labeled samples:37893   AUC:0.985
Numer of labeled samples:37649   AUC:0.984
Numer of labeled samples:37570   AUC:0.982
Numer of labeled samples:37616   AUC:0.984
Numer of labeled samples:38195   AUC:0.980
Numer of labeled samples:37732   AUC:0.983
Numer of labeled samples:37841   AUC:0.985
Numer of labeled samples:37945   AUC:0.983
Numer of labeled samples:37762   AUC:0.985
Numer of labeled samples:37791   AUC:0.984
Numer of labeled samples:37501   AUC:0.980
Numer of labeled samples:37906   AUC:0.985
Numer of labeled samples:37666   AUC:0.982
Numer of labeled samples:37617   AUC:0.982
Numer of labeled samples:37973   AUC:0.983
Numer of labeled samples:37807   AUC:0.983
Numer of labeled samples:37775   AUC:0.983
Numer of labeled samples:37833   AUC:0.983
Numer of labeled samples:37624   AUC:0.983
Numer of labeled samples:37627   AUC:0.982
Numer of labeled samples:37608   AUC:0.981
Numer of labeled samples:37867   AUC:0.983
Numer of labeled samples:37800   AUC:0.984
Numer of labeled samples:37890   AUC:0.986
Numer of labeled samples:37762   AUC:0.982
Numer of labeled samples:38046   AUC:0.984
Numer of labeled samples:37727   AUC:0.979
Numer of labeled samples:37944   AUC:0.983
Numer of labeled samples:37712   AUC:0.984
Numer of labeled samples:37978   AUC:0.983
Numer of labeled samples:37980   AUC:0.983
