Numer of labeled samples:38423   AUC:0.713
Numer of labeled samples:26250   AUC:0.770
Numer of labeled samples:34037   AUC:0.742
Numer of labeled samples:38015   AUC:0.878
Numer of labeled samples:33399   AUC:0.789
Numer of labeled samples:40205   AUC:0.872
Numer of labeled samples:32573   AUC:0.806
Numer of labeled samples:41105   AUC:0.855
Numer of labeled samples:32560   AUC:0.804
Numer of labeled samples:40804   AUC:0.870
Numer of labeled samples:41668   AUC:0.853
Numer of labeled samples:41384   AUC:0.876
Numer of labeled samples:42077   AUC:0.841
Numer of labeled samples:41499   AUC:0.863
Numer of labeled samples:41619   AUC:0.860
Numer of labeled samples:41366   AUC:0.878
Numer of labeled samples:42170   AUC:0.855
Numer of labeled samples:41708   AUC:0.872
Numer of labeled samples:41978   AUC:0.849
Numer of labeled samples:41784   AUC:0.883
Numer of labeled samples:41830   AUC:0.872
Numer of labeled samples:41707   AUC:0.879
Numer of labeled samples:41411   AUC:0.876
Numer of labeled samples:41290   AUC:0.886
Numer of labeled samples:41938   AUC:0.861
Numer of labeled samples:41546   AUC:0.881
Numer of labeled samples:41327   AUC:0.877
Numer of labeled samples:41165   AUC:0.885
Numer of labeled samples:40957   AUC:0.871
Numer of labeled samples:40656   AUC:0.889
Numer of labeled samples:41123   AUC:0.858
Numer of labeled samples:41250   AUC:0.891
Numer of labeled samples:40909   AUC:0.873
Numer of labeled samples:41180   AUC:0.894
Numer of labeled samples:40618   AUC:0.864
Numer of labeled samples:40578   AUC:0.888
Numer of labeled samples:39713   AUC:0.873
Numer of labeled samples:40309   AUC:0.887
Numer of labeled samples:40497   AUC:0.862
Numer of labeled samples:40100   AUC:0.883
Numer of labeled samples:40569   AUC:0.868
Numer of labeled samples:40322   AUC:0.881
Numer of labeled samples:39891   AUC:0.867
Numer of labeled samples:39837   AUC:0.889
Numer of labeled samples:39169   AUC:0.875
Numer of labeled samples:39919   AUC:0.877
Numer of labeled samples:40311   AUC:0.863
Numer of labeled samples:41024   AUC:0.883
Numer of labeled samples:39229   AUC:0.865
Numer of labeled samples:40189   AUC:0.862
Numer of labeled samples:40088   AUC:0.871
Numer of labeled samples:39916   AUC:0.871
Numer of labeled samples:39762   AUC:0.864
Numer of labeled samples:39928   AUC:0.878
Numer of labeled samples:39922   AUC:0.860
Numer of labeled samples:39872   AUC:0.875
Numer of labeled samples:39811   AUC:0.878
Numer of labeled samples:39767   AUC:0.873
Numer of labeled samples:40048   AUC:0.842
Numer of labeled samples:40332   AUC:0.885
Numer of labeled samples:40080   AUC:0.865
Numer of labeled samples:40214   AUC:0.878
Numer of labeled samples:40406   AUC:0.853
Numer of labeled samples:40146   AUC:0.882
Numer of labeled samples:39778   AUC:0.866
Numer of labeled samples:40213   AUC:0.871
