Numer of labeled samples:28272   AUC:0.771
Numer of labeled samples:29076   AUC:0.731
Numer of labeled samples:36798   AUC:0.798
Numer of labeled samples:36025   AUC:0.818
Numer of labeled samples:30620   AUC:0.826
Numer of labeled samples:26921   AUC:0.870
Numer of labeled samples:28567   AUC:0.773
Numer of labeled samples:30737   AUC:0.811
Numer of labeled samples:29288   AUC:0.797
Numer of labeled samples:29638   AUC:0.768
Numer of labeled samples:30879   AUC:0.814
Numer of labeled samples:29655   AUC:0.825
Numer of labeled samples:29871   AUC:0.825
Numer of labeled samples:29734   AUC:0.813
Numer of labeled samples:26828   AUC:0.819
Numer of labeled samples:28409   AUC:0.792
Numer of labeled samples:29532   AUC:0.758
Numer of labeled samples:28606   AUC:0.781
Numer of labeled samples:24837   AUC:0.702
Numer of labeled samples:21986   AUC:0.746
Numer of labeled samples:21033   AUC:0.682
Numer of labeled samples:23365   AUC:0.718
Numer of labeled samples:19817   AUC:0.715
Numer of labeled samples:16980   AUC:0.725
Numer of labeled samples:18365   AUC:0.765
Numer of labeled samples:17920   AUC:0.749
Numer of labeled samples:18142   AUC:0.747
Numer of labeled samples:17717   AUC:0.738
Numer of labeled samples:17811   AUC:0.704
Numer of labeled samples:16514   AUC:0.704
Numer of labeled samples:20731   AUC:0.631
Numer of labeled samples:17086   AUC:0.664
Numer of labeled samples:26483   AUC:0.631
Numer of labeled samples:15219   AUC:0.619
Numer of labeled samples:15640   AUC:0.661
Numer of labeled samples:13823   AUC:0.594
Numer of labeled samples:11589   AUC:0.640
Numer of labeled samples:13108   AUC:0.626
Numer of labeled samples:10740   AUC:0.586
Numer of labeled samples:10517   AUC:0.615
Numer of labeled samples:9743   AUC:0.629
Numer of labeled samples:10442   AUC:0.586
Numer of labeled samples:10435   AUC:0.634
Numer of labeled samples:9932   AUC:0.615
Numer of labeled samples:10013   AUC:0.633
Numer of labeled samples:10103   AUC:0.628
Numer of labeled samples:10941   AUC:0.718
Numer of labeled samples:11026   AUC:0.660
Numer of labeled samples:11814   AUC:0.693
Numer of labeled samples:10926   AUC:0.659
Numer of labeled samples:11544   AUC:0.733
Numer of labeled samples:12052   AUC:0.727
Numer of labeled samples:12720   AUC:0.725
Numer of labeled samples:12502   AUC:0.723
Numer of labeled samples:12012   AUC:0.714
Numer of labeled samples:12169   AUC:0.738
Numer of labeled samples:11701   AUC:0.712
Numer of labeled samples:11084   AUC:0.714
Numer of labeled samples:12692   AUC:0.750
Numer of labeled samples:11196   AUC:0.723
Numer of labeled samples:11940   AUC:0.713
Numer of labeled samples:10660   AUC:0.710
Numer of labeled samples:11380   AUC:0.702
Numer of labeled samples:11237   AUC:0.708
Numer of labeled samples:9949   AUC:0.681
Numer of labeled samples:9507   AUC:0.685
Numer of labeled samples:9467   AUC:0.676
Numer of labeled samples:9934   AUC:0.683
Numer of labeled samples:10633   AUC:0.732
Numer of labeled samples:10086   AUC:0.707
Numer of labeled samples:8868   AUC:0.776
Numer of labeled samples:8679   AUC:0.744
Numer of labeled samples:9414   AUC:0.751
Numer of labeled samples:8994   AUC:0.749
Numer of labeled samples:9451   AUC:0.749
Numer of labeled samples:8696   AUC:0.751
Numer of labeled samples:10079   AUC:0.803
Numer of labeled samples:9052   AUC:0.781
Numer of labeled samples:9382   AUC:0.768
Numer of labeled samples:9127   AUC:0.779
Numer of labeled samples:9739   AUC:0.787
Numer of labeled samples:10189   AUC:0.781
Numer of labeled samples:9664   AUC:0.769
Numer of labeled samples:10097   AUC:0.777
Numer of labeled samples:9687   AUC:0.766
Numer of labeled samples:10119   AUC:0.750
Numer of labeled samples:8098   AUC:0.744
Numer of labeled samples:8096   AUC:0.766
Numer of labeled samples:9336   AUC:0.784
Numer of labeled samples:8611   AUC:0.773
Numer of labeled samples:8812   AUC:0.788
Numer of labeled samples:9044   AUC:0.809
Numer of labeled samples:8937   AUC:0.782
Numer of labeled samples:9499   AUC:0.747
Numer of labeled samples:8467   AUC:0.785
Numer of labeled samples:8342   AUC:0.758
Numer of labeled samples:10081   AUC:0.790
Numer of labeled samples:9175   AUC:0.797
Numer of labeled samples:9880   AUC:0.755
Numer of labeled samples:10004   AUC:0.781
Numer of labeled samples:8733   AUC:0.820
Numer of labeled samples:9135   AUC:0.777
Numer of labeled samples:9150   AUC:0.798
Numer of labeled samples:9437   AUC:0.790
Numer of labeled samples:8235   AUC:0.794
Numer of labeled samples:8639   AUC:0.786
Numer of labeled samples:8191   AUC:0.808
Numer of labeled samples:8359   AUC:0.807
Numer of labeled samples:47375   AUC:0.783
Numer of labeled samples:47683   AUC:0.785
Numer of labeled samples:6342   AUC:0.655
Numer of labeled samples:6474   AUC:0.546
Numer of labeled samples:6239   AUC:0.709
Numer of labeled samples:5963   AUC:0.697
Numer of labeled samples:6098   AUC:0.679
Numer of labeled samples:6318   AUC:0.698
Numer of labeled samples:6542   AUC:0.696
Numer of labeled samples:6329   AUC:0.712
Numer of labeled samples:6391   AUC:0.741
Numer of labeled samples:6102   AUC:0.684
Numer of labeled samples:6285   AUC:0.679
Numer of labeled samples:6278   AUC:0.712
Numer of labeled samples:6896   AUC:0.699
Numer of labeled samples:6326   AUC:0.724
Numer of labeled samples:6769   AUC:0.709
Numer of labeled samples:47296   AUC:0.699
Numer of labeled samples:7109   AUC:0.529
Numer of labeled samples:6476   AUC:0.703
Numer of labeled samples:7106   AUC:0.738
Numer of labeled samples:47207   AUC:0.686
Numer of labeled samples:6083   AUC:0.542
Numer of labeled samples:47402   AUC:0.670
Numer of labeled samples:6084   AUC:0.561
Numer of labeled samples:5176   AUC:0.660
Numer of labeled samples:5793   AUC:0.606
Numer of labeled samples:5678   AUC:0.689
Numer of labeled samples:5736   AUC:0.672
Numer of labeled samples:5568   AUC:0.690
Numer of labeled samples:46967   AUC:0.670
Numer of labeled samples:5800   AUC:0.663
Numer of labeled samples:6314   AUC:0.642
Numer of labeled samples:41352   AUC:0.517
Numer of labeled samples:5661   AUC:0.686
Numer of labeled samples:47501   AUC:0.634
Numer of labeled samples:6370   AUC:0.690
Numer of labeled samples:4512   AUC:0.745
Numer of labeled samples:49784   AUC:0.634
Numer of labeled samples:5917   AUC:0.690
Numer of labeled samples:7120   AUC:0.623
Numer of labeled samples:6560   AUC:0.582
Numer of labeled samples:5769   AUC:0.705
Numer of labeled samples:6075   AUC:0.689
Numer of labeled samples:48875   AUC:0.726
Numer of labeled samples:6128   AUC:0.694
Numer of labeled samples:6394   AUC:0.675
Numer of labeled samples:6924   AUC:0.567
Numer of labeled samples:6243   AUC:0.729
Numer of labeled samples:6407   AUC:0.669
Numer of labeled samples:6357   AUC:0.737
Numer of labeled samples:6239   AUC:0.704
Numer of labeled samples:6336   AUC:0.731
Numer of labeled samples:6252   AUC:0.702
Numer of labeled samples:6302   AUC:0.698
Numer of labeled samples:6184   AUC:0.699
Numer of labeled samples:5941   AUC:0.720
Numer of labeled samples:5970   AUC:0.701
Numer of labeled samples:6094   AUC:0.695
Numer of labeled samples:5954   AUC:0.684
Numer of labeled samples:6723   AUC:0.701
Numer of labeled samples:6273   AUC:0.665
Numer of labeled samples:6740   AUC:0.695
Numer of labeled samples:6162   AUC:0.662
Numer of labeled samples:6233   AUC:0.703
Numer of labeled samples:6213   AUC:0.641
Numer of labeled samples:48353   AUC:0.685
Numer of labeled samples:6095   AUC:0.665
Numer of labeled samples:49546   AUC:0.651
Numer of labeled samples:8026   AUC:0.609
Numer of labeled samples:6554   AUC:0.655
Numer of labeled samples:7494   AUC:0.733
Numer of labeled samples:6337   AUC:0.669
Numer of labeled samples:6277   AUC:0.655
