Numer of labeled samples:19106   AUC:0.757
Numer of labeled samples:26806   AUC:0.770
Numer of labeled samples:31539   AUC:0.806
Numer of labeled samples:27086   AUC:0.800
Numer of labeled samples:32527   AUC:0.831
Numer of labeled samples:34318   AUC:0.804
Numer of labeled samples:36107   AUC:0.838
Numer of labeled samples:36448   AUC:0.832
Numer of labeled samples:37458   AUC:0.836
Numer of labeled samples:37147   AUC:0.854
Numer of labeled samples:38935   AUC:0.869
Numer of labeled samples:39198   AUC:0.862
Numer of labeled samples:40546   AUC:0.859
Numer of labeled samples:40420   AUC:0.872
Numer of labeled samples:38305   AUC:0.872
Numer of labeled samples:41563   AUC:0.869
Numer of labeled samples:41503   AUC:0.875
Numer of labeled samples:41115   AUC:0.887
Numer of labeled samples:42044   AUC:0.890
Numer of labeled samples:40581   AUC:0.892
Numer of labeled samples:41174   AUC:0.895
Numer of labeled samples:41029   AUC:0.895
Numer of labeled samples:37717   AUC:0.901
Numer of labeled samples:41265   AUC:0.896
Numer of labeled samples:41181   AUC:0.897
Numer of labeled samples:36547   AUC:0.901
Numer of labeled samples:35102   AUC:0.913
Numer of labeled samples:40486   AUC:0.893
Numer of labeled samples:34645   AUC:0.915
Numer of labeled samples:34129   AUC:0.923
Numer of labeled samples:32691   AUC:0.926
Numer of labeled samples:33370   AUC:0.924
Numer of labeled samples:28725   AUC:0.921
Numer of labeled samples:31376   AUC:0.931
Numer of labeled samples:26477   AUC:0.933
Numer of labeled samples:27878   AUC:0.930
Numer of labeled samples:24599   AUC:0.942
Numer of labeled samples:24614   AUC:0.939
Numer of labeled samples:22891   AUC:0.940
Numer of labeled samples:23369   AUC:0.939
Numer of labeled samples:21044   AUC:0.944
Numer of labeled samples:22758   AUC:0.945
Numer of labeled samples:22448   AUC:0.944
Numer of labeled samples:21889   AUC:0.938
Numer of labeled samples:20840   AUC:0.946
Numer of labeled samples:20918   AUC:0.946
Numer of labeled samples:19885   AUC:0.946
Numer of labeled samples:20045   AUC:0.949
Numer of labeled samples:20122   AUC:0.954
Numer of labeled samples:19607   AUC:0.948
Numer of labeled samples:20087   AUC:0.951
Numer of labeled samples:19681   AUC:0.953
Numer of labeled samples:19353   AUC:0.956
Numer of labeled samples:20480   AUC:0.952
Numer of labeled samples:20590   AUC:0.953
Numer of labeled samples:19612   AUC:0.951
Numer of labeled samples:19911   AUC:0.957
Numer of labeled samples:19350   AUC:0.954
Numer of labeled samples:19528   AUC:0.953
Numer of labeled samples:19577   AUC:0.958
Numer of labeled samples:19493   AUC:0.960
Numer of labeled samples:19356   AUC:0.958
Numer of labeled samples:19957   AUC:0.962
Numer of labeled samples:19002   AUC:0.961
Numer of labeled samples:19582   AUC:0.964
Numer of labeled samples:18652   AUC:0.963
Numer of labeled samples:18953   AUC:0.965
Numer of labeled samples:19089   AUC:0.963
Numer of labeled samples:19674   AUC:0.964
Numer of labeled samples:18801   AUC:0.967
Numer of labeled samples:18681   AUC:0.970
Numer of labeled samples:19687   AUC:0.969
Numer of labeled samples:18891   AUC:0.971
Numer of labeled samples:18999   AUC:0.970
Numer of labeled samples:19359   AUC:0.967
Numer of labeled samples:18942   AUC:0.969
Numer of labeled samples:18338   AUC:0.970
Numer of labeled samples:18750   AUC:0.968
Numer of labeled samples:19212   AUC:0.967
Numer of labeled samples:18186   AUC:0.971
Numer of labeled samples:18792   AUC:0.967
Numer of labeled samples:18362   AUC:0.972
